Soil Type,pH Level,Nitrogen (N),Phosphorus (P),Potassium (K),Organic Matter (%),Soil Moisture (%),Crop Type,Growth Stage,Temperature (°C),Rainfall (mm),Humidity (%),Sunlight (hours),Fertilizer Type,Fertilizer Amount (kg/ha),Yield (kg/ha),Cost (USD),Profit (USD)
Sandy,5.9,67.64,22.05,31.01,1.72,31.01,Wheat,Flowering,34.58,121.17,72.7,7.56,Inorganic,215.03,3952.9,184.85,1441.02
Loamy,6.38,52.79,34.64,37.74,3.02,22.77,Soybean,Flowering,21.77,60.23,84.27,8.06,Inorganic,162.56,2975.7,267.32,1386.3
Sandy,6.32,50.05,20.86,42.86,2.06,25.36,Wheat,Germination,31.58,106.35,58.47,8.87,Mixed,218.69,2545.52,208.13,1267.83
Sandy,6.36,54.22,34.85,38.09,1.78,27.4,Oats,Fruit development,25.47,79.1,72.49,6.15,Mixed,220.32,2902.35,287.72,1851.4
Loamy,6.67,54.65,37.6,30.64,2.03,31.12,Corn,Vegetative,34.9,58.48,64.22,5.68,Inorganic,243.22,3303.89,206.66,1918.82
Loamy,6.54,36.81,28.51,43.02,3.22,21.78,Wheat,Maturity,33.05,123.11,55.87,7.88,Inorganic,195.73,4221.81,209.04,1474.57
Sandy,5.8,57.46,28.27,37.83,2.75,28.45,Maize,Flowering,23.46,80.43,54.47,8.73,Inorganic,205.84,3969.04,263.08,1334.82
Clay,5.63,48.09,26.08,30.38,2.69,30.51,Soybean,Fruit development,31.49,81.01,74.51,7.11,Inorganic,164.12,3772.87,198.17,1817.85
Sandy,6.96,50.7,37.54,33.41,2.67,31.1,Corn,Vegetative,31.01,113.99,58.01,5.97,Organic,191.54,3184.76,252.6,1493.87
Sandy,6.62,31.21,30.96,34.35,2.32,24.98,Maize,Flowering,31.45,116.63,70.98,8.19,Inorganic,131.01,3885.48,265.84,1752.05
Sandy,6.22,60.58,31.59,40.21,2.33,24.47,Oats,Flowering,21.24,97.41,58.32,8.38,Inorganic,198.58,3655.9,203.78,1542.04
Sandy,7.12,63.42,33.23,33.73,1.8,17.09,Corn,Maturity,32.14,105.65,65.88,8.94,Mixed,236.5,3890.78,166.67,1770.24
Loamy,6.28,54.78,26.0,37.23,2.17,24.95,Oats,Fruit development,23.92,134.89,75.98,7.93,Inorganic,127.18,4497.1,256.49,1767.25
Sandy,7.09,59.95,28.66,45.01,2.52,29.04,Barley,Germination,28.86,60.71,68.48,6.83,Inorganic,179.4,4099.17,258.04,1878.42
Clay,6.11,50.91,34.83,46.15,2.71,33.41,Soybean,Vegetative,21.73,56.54,80.5,6.1,Organic,134.51,3413.65,268.82,1744.85
Loamy,5.65,54.73,39.71,45.91,1.64,17.5,Wheat,Vegetative,28.37,115.62,68.42,5.21,Organic,112.28,4424.98,188.46,1870.54
Clay,7.37,45.78,20.69,43.9,2.17,34.38,Corn,Fruit development,33.6,110.38,56.8,7.0,Organic,112.64,2902.59,187.33,1391.5
Clay,6.29,61.67,20.85,40.84,2.18,19.68,Soybean,Vegetative,22.66,68.59,81.4,8.85,Organic,133.03,3767.74,212.75,1498.88
Clay,7.09,48.73,28.56,41.01,2.53,18.52,Barley,Germination,32.83,102.19,64.63,8.76,Mixed,151.31,3157.92,276.18,1890.31
Clay,6.06,57.21,33.19,49.07,2.92,17.29,Barley,Vegetative,26.53,124.57,80.36,9.71,Organic,133.02,2702.69,210.26,1780.56
Loamy,6.79,54.86,27.73,47.56,2.77,34.8,Maize,Fruit development,24.83,123.17,58.13,5.09,Inorganic,218.39,4452.17,249.01,1395.7
Loamy,7.25,58.09,39.99,43.0,2.64,26.22,Soybean,Germination,20.86,109.57,72.27,5.88,Inorganic,110.97,3491.27,202.62,1429.94
Clay,5.58,61.41,23.91,39.37,2.08,20.41,Wheat,Maturity,27.93,63.04,55.78,8.31,Mixed,106.36,3335.66,235.64,1519.83
Clay,7.16,50.51,20.16,44.58,3.18,21.35,Oats,Fruit development,23.0,80.4,52.8,7.71,Organic,127.29,2794.33,151.75,1295.61
Loamy,6.64,62.52,23.8,31.25,3.07,34.01,Soybean,Maturity,34.1,90.58,84.96,8.59,Mixed,134.64,4065.65,220.52,1862.7
Loamy,6.71,49.89,37.74,48.89,1.87,33.0,Oats,Vegetative,23.57,128.83,50.37,6.94,Organic,199.76,2941.47,172.26,1335.94
Loamy,6.55,68.27,22.9,40.95,2.81,22.0,Maize,Germination,28.8,104.38,70.69,6.76,Inorganic,100.78,3373.06,231.78,1904.03
Sandy,7.25,60.11,29.58,40.06,3.31,16.27,Maize,Vegetative,28.38,123.32,50.47,8.49,Inorganic,237.1,3439.99,259.08,1492.85
Sandy,5.59,36.85,28.39,35.82,2.37,31.67,Corn,Fruit development,25.05,142.35,69.31,7.04,Inorganic,142.54,2841.75,189.75,1216.94
Sandy,6.02,63.18,33.31,30.07,3.35,33.29,Maize,Maturity,32.78,112.39,53.5,6.3,Inorganic,115.48,4062.58,236.25,1488.35
Clay,7.25,52.06,21.09,31.22,1.54,31.75,Rice,Maturity,22.75,73.71,77.56,6.51,Inorganic,242.99,4131.74,184.54,1532.83
Sandy,7.0,69.38,33.18,35.26,2.53,33.26,Maize,Vegetative,32.26,63.96,60.24,6.1,Inorganic,235.57,4419.8,254.42,1247.96
Clay,5.54,58.75,27.1,40.83,2.01,26.52,Oats,Fruit development,23.11,50.05,62.05,5.06,Inorganic,112.86,3502.57,258.33,1489.32
Clay,6.53,33.38,38.52,31.67,2.02,31.79,Wheat,Vegetative,20.59,67.56,58.83,8.46,Mixed,166.5,3292.87,187.34,1605.77
Sandy,6.56,45.8,36.98,49.44,3.26,33.88,Maize,Flowering,34.16,76.92,53.99,8.67,Inorganic,194.65,3218.36,196.35,1960.77
Clay,6.3,50.69,27.99,38.22,2.12,32.8,Corn,Fruit development,29.56,76.98,67.51,8.96,Organic,217.8,4384.67,192.21,1389.4
Sandy,6.09,63.56,39.86,36.33,1.55,26.74,Oats,Fruit development,29.46,116.71,65.67,5.9,Organic,247.31,4017.75,189.18,1439.42
Sandy,6.86,59.17,21.04,40.5,2.58,29.93,Maize,Germination,23.98,65.02,68.88,9.57,Mixed,213.79,3530.22,162.03,1228.03
Loamy,5.92,44.77,35.77,31.3,3.44,29.43,Soybean,Flowering,22.09,93.55,71.91,6.66,Organic,181.5,3948.49,298.07,1280.85
Sandy,7.1,56.14,28.68,47.01,1.66,31.06,Barley,Maturity,30.59,50.49,53.1,9.47,Mixed,105.18,3382.27,290.12,1647.15
Loamy,7.11,53.08,28.67,39.21,2.07,19.58,Barley,Vegetative,27.78,76.12,64.47,6.36,Organic,130.75,4041.17,244.03,1968.89
Sandy,6.33,35.04,23.4,33.57,2.44,15.04,Soybean,Maturity,24.77,54.11,70.74,5.21,Inorganic,230.3,4358.52,261.96,1969.34
Sandy,6.07,39.39,30.3,33.23,3.16,25.2,Soybean,Fruit development,24.75,120.96,61.31,7.59,Inorganic,159.13,2930.67,169.3,1485.41
Loamy,6.07,43.64,21.69,37.22,2.04,30.31,Rice,Vegetative,33.34,85.43,56.7,7.65,Organic,115.32,3237.58,259.54,1229.72
Loamy,6.46,37.82,32.33,41.47,2.19,17.5,Corn,Maturity,33.35,98.01,71.22,9.5,Inorganic,219.44,3798.05,263.3,1428.4
Sandy,6.94,36.01,24.83,38.34,2.27,25.66,Soybean,Vegetative,24.12,126.15,75.14,8.35,Mixed,118.23,3541.39,164.52,1684.67
Clay,6.22,32.33,34.5,41.94,2.26,21.29,Oats,Maturity,31.91,136.29,76.27,9.13,Mixed,142.55,3471.44,269.83,1809.71
Loamy,6.72,64.92,32.15,44.11,1.9,31.76,Soybean,Vegetative,23.4,101.67,61.4,9.27,Inorganic,104.38,4176.32,165.33,1824.96
Clay,6.26,41.56,34.93,44.97,3.33,17.01,Oats,Maturity,32.12,114.98,53.46,7.44,Organic,144.6,3999.63,270.53,1959.92
Clay,6.11,41.61,34.99,38.02,3.09,31.96,Oats,Maturity,21.89,123.6,82.05,9.54,Inorganic,222.67,3549.18,250.13,1575.96
Clay,5.55,38.25,23.93,44.34,3.45,27.22,Barley,Vegetative,31.37,78.53,74.07,8.62,Mixed,166.57,2991.61,177.29,1380.07
Loamy,5.51,49.02,20.01,32.83,2.24,33.39,Soybean,Germination,28.34,120.73,83.2,5.55,Organic,131.3,4051.59,261.9,1833.02
Clay,5.95,50.57,27.32,40.26,1.59,33.71,Barley,Vegetative,21.76,115.37,55.1,6.25,Inorganic,171.95,3376.59,212.29,1200.58
Loamy,6.31,38.33,38.38,31.45,1.73,31.18,Oats,Maturity,29.24,94.31,73.0,5.51,Mixed,100.5,4341.72,285.58,1611.02
Clay,7.2,54.34,31.56,34.88,2.21,25.6,Barley,Flowering,22.89,84.08,56.87,7.92,Organic,205.11,2505.91,200.99,1243.99
Sandy,7.1,58.92,34.55,41.66,3.32,17.85,Corn,Fruit development,22.91,147.37,80.33,6.12,Mixed,100.8,3636.21,194.36,1390.67
Sandy,6.03,44.95,37.59,44.81,3.46,19.51,Oats,Germination,26.71,148.63,68.18,9.71,Mixed,147.11,3731.63,214.93,1995.56
Loamy,5.99,53.42,38.12,31.91,3.14,23.36,Oats,Vegetative,34.46,119.51,68.64,9.47,Organic,127.42,2775.24,180.7,1868.47
Sandy,5.95,50.09,30.58,34.14,1.98,29.58,Barley,Fruit development,33.38,88.42,82.58,8.98,Organic,241.78,3512.71,176.54,1989.79
Sandy,6.18,37.82,30.82,49.84,2.82,25.9,Soybean,Germination,32.4,125.15,60.64,9.39,Inorganic,118.69,2731.54,215.13,1493.61
Clay,6.5,59.2,37.02,36.75,2.69,23.77,Oats,Flowering,32.77,117.92,71.67,9.21,Organic,191.76,3299.64,239.86,1280.17
Loamy,6.38,62.06,36.15,35.68,3.15,24.55,Rice,Fruit development,27.46,104.5,55.05,5.88,Organic,155.93,3853.78,225.69,1949.68
Clay,5.94,55.95,33.98,31.71,2.52,29.83,Soybean,Vegetative,25.62,63.18,62.71,5.46,Inorganic,208.22,3865.16,263.13,1467.04
Clay,5.76,42.96,32.09,43.9,2.14,15.69,Wheat,Flowering,33.26,144.66,56.82,8.49,Organic,150.38,3459.39,287.43,1373.44
Clay,5.53,67.07,32.34,40.17,1.54,23.85,Rice,Vegetative,21.21,73.28,57.05,6.71,Inorganic,115.79,4156.11,271.58,1556.22
Clay,5.81,48.21,27.26,33.15,3.09,26.45,Wheat,Fruit development,34.94,89.33,73.14,8.13,Organic,106.09,3655.48,187.15,1379.01
Clay,6.91,40.64,36.82,42.66,2.56,26.77,Soybean,Vegetative,28.29,84.24,60.03,8.17,Organic,248.57,3702.71,218.68,1866.62
Clay,5.99,46.33,32.36,40.52,2.57,27.37,Soybean,Flowering,28.11,65.38,58.79,9.29,Mixed,244.49,2850.03,203.7,1465.14
Clay,6.44,57.68,24.47,41.3,3.41,16.07,Corn,Flowering,24.38,52.45,78.28,5.81,Organic,132.27,3437.12,179.29,1522.43
Loamy,6.68,63.84,24.8,49.9,2.47,26.16,Barley,Fruit development,22.56,142.98,66.58,9.43,Inorganic,113.26,2597.73,293.31,1503.1
Sandy,7.27,44.26,37.23,30.57,2.13,26.01,Wheat,Fruit development,30.2,123.95,63.3,6.62,Inorganic,191.16,3014.83,163.56,1739.43
Clay,7.28,39.3,32.51,48.3,2.18,32.1,Wheat,Maturity,25.43,52.07,78.53,9.45,Inorganic,203.6,2910.89,161.73,1436.61
Clay,6.99,55.06,27.97,46.84,1.52,30.2,Maize,Flowering,24.54,118.78,67.1,6.02,Inorganic,210.16,3248.07,292.42,1966.74
Clay,5.57,66.85,23.74,38.31,1.74,15.62,Maize,Maturity,22.44,62.97,78.52,5.8,Mixed,236.92,3444.7,189.29,1869.51
Clay,6.65,37.33,32.2,47.62,1.59,26.12,Maize,Vegetative,28.03,122.4,61.15,8.08,Inorganic,138.08,2955.15,194.18,1970.21
Clay,7.07,62.12,23.69,42.97,1.99,28.82,Maize,Fruit development,28.82,100.52,83.67,9.52,Inorganic,133.24,2619.48,253.22,1572.59
Clay,5.53,49.06,29.4,47.79,1.63,26.6,Wheat,Germination,26.65,147.79,82.33,7.43,Mixed,111.15,3195.47,179.44,1441.15
Sandy,6.6,61.98,33.55,41.89,2.16,28.53,Corn,Vegetative,20.18,93.24,78.83,5.41,Organic,122.52,2702.14,206.59,1328.68
Sandy,7.22,50.22,31.31,34.32,1.75,17.33,Maize,Maturity,27.38,124.89,57.45,9.35,Organic,197.42,2774.11,161.08,1270.63
Clay,6.45,45.09,38.44,41.52,3.34,18.38,Wheat,Flowering,24.08,54.13,75.46,7.49,Mixed,172.94,4114.99,241.73,1360.49
Sandy,5.51,57.87,20.79,33.58,3.38,26.65,Corn,Fruit development,22.08,143.56,78.62,7.53,Mixed,207.58,3331.59,211.55,1738.1
Loamy,5.52,66.03,25.6,32.82,2.71,31.01,Corn,Fruit development,28.66,106.25,62.72,6.08,Inorganic,193.33,3193.48,183.88,1271.69
Clay,6.33,42.81,21.14,43.08,3.11,15.52,Maize,Vegetative,30.07,81.42,54.91,5.99,Mixed,205.97,2629.72,250.05,1710.55
Loamy,5.81,48.43,23.89,48.95,2.85,23.72,Wheat,Vegetative,27.78,62.69,59.44,8.05,Mixed,179.62,3291.79,184.6,1935.65
Loamy,6.83,39.18,22.48,41.77,3.12,34.84,Rice,Fruit development,29.21,114.08,70.5,7.15,Mixed,242.24,3617.76,253.08,1350.25
Clay,6.92,37.34,34.65,45.92,2.78,30.31,Wheat,Maturity,29.1,124.63,58.81,5.74,Organic,201.17,3159.15,222.61,1789.81
Sandy,5.86,61.12,27.39,33.37,2.36,24.0,Oats,Flowering,21.86,58.53,73.16,9.89,Mixed,205.89,3627.4,297.72,1694.32
Loamy,7.28,38.03,38.5,43.08,3.25,16.96,Oats,Fruit development,23.24,66.47,63.72,5.23,Inorganic,232.48,4497.81,164.33,1709.7
Clay,6.38,61.73,20.47,44.66,2.38,22.18,Corn,Fruit development,20.14,88.54,57.9,5.22,Inorganic,191.41,3324.97,154.38,1779.36
Loamy,5.79,47.17,33.06,30.83,2.29,18.09,Soybean,Vegetative,34.73,135.18,71.46,9.89,Organic,134.22,3625.99,178.29,1742.13
Loamy,7.03,69.8,39.41,31.94,2.75,33.42,Oats,Flowering,23.17,148.29,52.58,6.11,Inorganic,163.88,2868.36,284.89,1209.9
Loamy,7.08,37.89,23.52,45.63,3.38,28.71,Maize,Fruit development,32.22,124.5,71.87,5.07,Inorganic,208.79,3877.73,294.66,1413.37
Loamy,6.78,33.72,28.85,38.8,2.38,32.11,Oats,Vegetative,31.72,50.56,84.1,6.99,Inorganic,238.93,2522.35,260.88,1939.08
Sandy,7.21,33.02,34.04,38.11,2.65,32.95,Corn,Germination,30.58,140.35,74.9,6.09,Inorganic,171.98,2867.26,275.05,1217.61
Loamy,6.97,63.42,32.66,48.41,2.48,27.14,Oats,Fruit development,26.75,52.66,61.48,9.03,Mixed,133.57,3230.94,167.1,1553.66
Loamy,7.26,47.51,31.32,49.84,3.32,15.13,Rice,Germination,28.76,139.71,81.54,6.27,Organic,147.19,4002.13,202.23,1228.44
Loamy,6.37,30.12,26.54,45.29,2.85,26.12,Rice,Flowering,22.8,91.03,68.47,9.09,Inorganic,163.99,3957.66,255.21,1926.19
Sandy,7.0,64.99,34.56,45.85,2.34,31.05,Rice,Flowering,21.59,124.18,68.49,7.65,Mixed,209.56,4265.4,214.26,1929.72
Loamy,7.5,65.08,33.07,34.17,2.71,21.29,Oats,Fruit development,25.28,58.71,63.24,9.03,Inorganic,115.83,4433.86,200.59,1893.17
Loamy,6.95,62.26,23.26,33.84,1.81,33.56,Oats,Maturity,32.38,66.49,51.83,8.07,Inorganic,107.13,2888.15,195.86,1953.97
Sandy,5.73,39.93,39.28,49.61,2.18,34.94,Rice,Vegetative,28.46,95.08,59.45,8.78,Organic,249.66,4400.58,157.06,1924.15
